SP-[1] Epoch: 41/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 67.30% | Val: Loss nan  Acc(top1) 61.59% | HA 0.00@0

SP-[1] Epoch: 42/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 65.07% | Val: Loss nan  Acc(top1) 54.83% | HA 0.00@0

SP-[1] Epoch: 43/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 65.29% | Val: Loss nan  Acc(top1) 57.97% | HA 0.00@0

SP-[1] Epoch: 44/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 67.19% | Val: Loss nan  Acc(top1) 62.08% | HA 0.00@0

SP-[1] Epoch: 45/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 68.30% | Val: Loss nan  Acc(top1) 59.42% | HA 0.00@0

SP-[1] Epoch: 46/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 70.42% | Val: Loss nan  Acc(top1) 57.00% | HA 0.00@0

SP-[1] Epoch: 47/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 68.75% | Val: Loss nan  Acc(top1) 59.90% | HA 0.00@0

SP-[1] Epoch: 48/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 66.85% | Val: Loss nan  Acc(top1) 62.08% | HA 0.00@0

SP-[1] Epoch: 49/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 65.29% | Val: Loss nan  Acc(top1) 63.53% | HA 0.00@0

SP-[1] Epoch: 50/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.43  Acc 68.64% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 51/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.42  Acc 70.98% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 52/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 65.85% | Val: Loss nan  Acc(top1) 60.39% | HA 0.00@0

