
SP-[1] Epoch: 44/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 57.81% | Val: Loss nan  Acc(top1) 48.31% | HA 0.00@0

SP-[1] Epoch: 45/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.84% | Val: Loss nan  Acc(top1) 48.31% | HA 0.00@0

SP-[1] Epoch: 46/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.29% | Val: Loss nan  Acc(top1) 47.83% | HA 0.00@0

SP-[1] Epoch: 47/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.28% | Val: Loss nan  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 48/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 62.50% | Val: Loss nan  Acc(top1) 51.69% | HA 0.00@0

SP-[1] Epoch: 49/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 62.61% | Val: Loss -0.35  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 50/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 63.39% | Val: Loss nan  Acc(top1) 50.72% | HA 0.00@0

SP-[1] Epoch: 51/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 67.30% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 52/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.95% | Val: Loss -0.21  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 53/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 62.95% | Val: Loss nan  Acc(top1) 39.86% | HA 0.00@0

SP-[1] Epoch: 54/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 65.29% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 55/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 66.52% | Val: Loss nan  Acc(top1) 40.58% | HA 0.00@0

SP-[1] Epoch: 56/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 65.18% | Val: Loss 1.11  Acc(top1) 33.82% | HA 0.00@0

