SP-[1] Epoch: 40/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.04% | Val: Loss -0.32  Acc(top1) 53.38% | HA 0.00@0

SP-[1] Epoch: 41/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.71% | Val: Loss -0.24  Acc(top1) 54.83% | HA 0.00@0

SP-[1] Epoch: 42/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 83.59% | Val: Loss -0.29  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 43/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.71% | Val: Loss -0.32  Acc(top1) 53.38% | HA 0.00@0

SP-[1] Epoch: 44/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.93% | Val: Loss -0.22  Acc(top1) 55.80% | HA 0.00@0

SP-[1] Epoch: 45/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.26% | Val: Loss -0.34  Acc(top1) 51.45% | HA 0.00@0

SP-[1] Epoch: 46/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 83.15% | Val: Loss -0.30  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 47/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.04% | Val: Loss -0.33  Acc(top1) 53.14% | HA 0.00@0

SP-[1] Epoch: 48/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 86.16% | Val: Loss -0.19  Acc(top1) 55.56% | HA 0.00@0

SP-[1] Epoch: 49/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.04% | Val: Loss -0.36  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 50/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 83.26% | Val: Loss -0.26  Acc(top1) 58.45% | HA 0.00@0

SP-[1] Epoch: 51/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.04% | Val: Loss -0.37  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 52/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.27% | Val: Loss -0.24  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 53/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.05% | Val: Loss -0.29  Acc(top1) 56.52% | HA 0.00@0

